Epoch,Loss,Train Accuracy,Test Accuracy
0,10.794276237487793,0.1,0.104
1,15.955992698669434,0.105,0.016
2,17.157386779785156,0.11,0.058
3,11.773550033569336,0.1,0.36
4,62.75193786621094,0.1,0.036
5,70.54248809814453,0.1,0.072
6,77.29917907714844,0.1,0.11
7,50.76876449584961,0.1,0.102
8,17.719013214111328,0.11,0.068
9,52.14609909057617,0.095,0.288
10,33.78310012817383,0.1,0.364
11,28.999183654785156,0.11,0.194
12,45.367279052734375,0.095,0.046
13,15.372491836547852,0.095,0.048
14,26.648948669433594,0.11,0.15
15,45.69459533691406,0.105,0.024
16,30.98910903930664,0.1,0.126
17,17.4946231842041,0.105,0.112
18,16.72602081298828,0.105,0.06
19,34.08787536621094,0.115,0.04
20,33.2037353515625,0.09,0.09
21,20.587539672851562,0.115,0.39
22,17.008703231811523,0.1,0.366
23,29.444618225097656,0.095,0.366
24,25.41727066040039,0.1,0.366
25,14.04349136352539,0.11,0.366
26,12.33772087097168,0.11,0.062
27,10.911983489990234,0.11,0.026
28,13.430054664611816,0.115,0.024
29,13.621570587158203,0.11,0.026
30,34.637794494628906,0.105,0.132
31,8.616113662719727,0.1,0.224
32,8.451186180114746,0.13,0.152
33,10.014476776123047,0.115,0.29
34,9.17209243774414,0.1,0.256
35,8.115826606750488,0.12,0.204
36,6.866330623626709,0.125,0.162
37,19.9268856048584,0.11,0.338
38,11.174698829650879,0.11,0.206
39,9.448163986206055,0.1,0.214
40,8.328694343566895,0.11,0.4
41,12.028061866760254,0.11,0.24
42,8.595736503601074,0.115,0.252
43,7.340641021728516,0.115,0.214
44,8.573880195617676,0.1,0.202
45,10.552193641662598,0.11,0.178
46,17.76232147216797,0.125,0.328
47,12.208451271057129,0.1,0.39
48,9.275639533996582,0.12,0.392
49,13.883586883544922,0.1,0.366
50,8.493830680847168,0.125,0.312
51,4.775278091430664,0.125,0.114
52,10.672764778137207,0.115,0.048
53,12.693093299865723,0.11,0.044
54,11.281359672546387,0.105,0.04
55,8.480827331542969,0.105,0.044
56,9.995816230773926,0.12,0.188
57,6.428959846496582,0.115,0.17
58,12.101212501525879,0.105,0.17
59,7.934803009033203,0.12,0.158
60,3.653250217437744,0.105,0.168
61,4.9260029792785645,0.125,0.334
62,15.623213768005371,0.1,0.372
63,8.26596450805664,0.105,0.368
64,5.866746425628662,0.1,0.366
65,11.24686050415039,0.1,0.366
66,7.889957904815674,0.105,0.372
67,7.910017490386963,0.09,0.104
68,5.608799457550049,0.095,0.046
69,3.2964773178100586,0.105,0.042
70,7.342385292053223,0.12,0.04
71,5.516233444213867,0.125,0.058
72,9.41296100616455,0.115,0.148
73,10.605319023132324,0.1,0.148
74,8.153207778930664,0.11,0.148
75,8.526185035705566,0.13,0.15
76,6.958581924438477,0.115,0.136
77,6.754863262176514,0.12,0.116
78,9.084463119506836,0.135,0.03
79,7.090105056762695,0.11,0.03
80,3.9139444828033447,0.115,0.08
81,7.883238315582275,0.095,0.154
82,8.749224662780762,0.12,0.128
83,7.050540924072266,0.11,0.106
84,4.877762317657471,0.125,0.158
85,5.270605564117432,0.105,0.144
86,5.1907243728637695,0.12,0.392
87,9.016570091247559,0.105,0.112
88,8.50744342803955,0.1,0.11
89,6.213248252868652,0.1,0.11
90,5.879535675048828,0.105,0.11
91,5.9329094886779785,0.105,0.114
92,3.0156798362731934,0.105,0.064
93,4.616459846496582,0.13,0.044
94,5.344851493835449,0.09,0.048
95,5.146570205688477,0.11,0.064
96,6.4874138832092285,0.12,0.096
97,8.048681259155273,0.1,0.046
98,4.322380542755127,0.09,0.108
99,3.780463218688965,0.1,0.11
100,3.3756821155548096,0.12,0.108
101,3.5173146724700928,0.12,0.108
102,3.341609477996826,0.105,0.108
103,3.8421692848205566,0.105,0.108
104,4.129062652587891,0.12,0.11
105,4.405323028564453,0.125,0.112
106,3.428647518157959,0.11,0.146
107,5.310011386871338,0.11,0.12
108,4.289834499359131,0.125,0.1
109,3.731820583343506,0.105,0.04
110,4.484968185424805,0.11,0.04
111,3.766146183013916,0.11,0.04
112,3.5071489810943604,0.12,0.04
113,4.741243362426758,0.11,0.04
114,5.587820529937744,0.135,0.04
115,3.3433737754821777,0.1,0.04
116,3.1323800086975098,0.105,0.04
117,4.35777473449707,0.125,0.042
118,3.733640432357788,0.105,0.018
119,3.1077096462249756,0.115,0.016
120,3.1518774032592773,0.115,0.016
121,3.365896224975586,0.1,0.016
122,3.8390438556671143,0.085,0.016
123,2.898747205734253,0.11,0.016
124,3.0861623287200928,0.12,0.016
125,3.796644687652588,0.11,0.042
126,3.6610000133514404,0.11,0.072
127,3.5876522064208984,0.11,0.112
128,3.1819491386413574,0.11,0.106
129,3.1285080909729004,0.13,0.108
130,4.081888198852539,0.105,0.108
131,3.3655898571014404,0.1,0.11
132,3.1654653549194336,0.1,0.108
133,2.9477264881134033,0.095,0.108
134,2.4701523780822754,0.11,0.108
